txn_id,customer_id,txn_type,amount,txn_time,status
TXN0000001,CUST00075,ATM withdrawal,18641.55,2025-02-20 09:16:02,success
TXN0000002,CUST00075,deposit,32902.18,2025-10-01 04:15:02,success
TXN0000003,CUST00075,transfer,46697.14,2025-07-27 21:43:02,success
TXN0000004,CUST00075,deposit,32114.52,2025-02-04 19:20:02,success
TXN0000005,CUST00075,deposit,28625.88,2025-04-03 07:00:02,success
TXN0000006,CUST00075,transfer,45007.46,2024-11-26 04:41:02,success
TXN0000007,CUST00075,transfer,6930.05,2025-01-20 01:49:02,failed
TXN0000008,CUST00075,ATM withdrawal,28928.36,2024-12-04 16:09:02,success
TXN0000009,CUST00075,deposit,32175.76,2025-07-21 04:38:02,success
TXN0000010,CUST00075,deposit,43178.66,2025-11-10 11:25:02,success
TXN0000011,CUST00075,withdrawal,13655.69,2025-06-21 14:54:02,success
TXN0000012,CUST00075,deposit,45191.51,2025-04-07 07:22:02,success
TXN0000013,CUST00075,deposit,11460.97,2025-02-15 19:09:02,success
TXN0000014,CUST00075,deposit,17396.58,2025-03-26 03:51:02,success
TXN0000015,CUST00075,transfer,36543.78,2025-02-02 13:19:02,success
TXN0000016,CUST00075,online purchase,10959.28,2025-10-30 03:06:02,success
TXN0000017,CUST00075,transfer,4665.55,2024-12-01 07:34:02,success
TXN0000018,CUST00075,transfer,8303.13,2025-06-02 22:38:02,success
TXN0000019,CUST00075,ATM withdrawal,26511.97,2025-02-21 00:57:02,success
TXN0000020,CUST00075,online purchase,38997.11,2025-08-14 23:49:02,failed
TXN0000021,CUST00075,deposit,42047.34,2025-10-08 21:00:02,success
TXN0000022,CUST00075,online purchase,23121.57,2025-02-10 08:46:02,success
TXN0000023,CUST00075,online purchase,41363.76,2025-02-14 14:09:02,success
TXN0000024,CUST00075,ATM withdrawal,13322.42,2025-08-01 03:07:02,success
TXN0000025,CUST00075,deposit,45606.09,2025-10-17 23:34:02,success
TXN0000026,CUST00203,online fraud,154049.14,2025-07-29 16:23:02,success
TXN0000027,CUST00203,transfer,37056.45,2025-02-28 06:21:02,success
TXN0000028,CUST00203,deposit,28804.96,2025-08-14 17:08:02,success
TXN0000029,CUST00203,online fraud,121587.25,2025-06-28 00:37:02,failed
TXN0000030,CUST00203,ATM withdrawal,25270.11,2024-12-15 09:11:02,success
TXN0000031,CUST00203,transfer,38243.21,2025-08-01 10:24:02,success
TXN0000032,CUST00203,ATM withdrawal,45107.81,2025-10-13 05:59:02,success
TXN0000033,CUST00203,ATM withdrawal,34553.33,2025-01-25 14:49:02,success
TXN0000034,CUST00203,online purchase,18748.97,2025-03-12 12:51:02,success
TXN0000035,CUST00203,deposit,34196.75,2025-06-12 12:06:02,success
TXN0000036,CUST00203,online fraud,121953.43,2025-03-31 00:00:02,failed
TXN0000037,CUST00203,online fraud,154443.91,2025-08-20 15:07:02,success
TXN0000038,CUST00203,withdrawal,4411.86,2025-07-20 17:41:02,success
